face_uid,gender,age_range,confidence,first_seen,last_seen
FACE_117752,male,25-30,84.8593,2025-03-17 10:53:24,2025-03-17 10:53:45
FACE_791119,male,06-20,95.3501,2025-03-11 12:10:01,2025-03-11 12:10:10
FACE_185948,female,60-98,94.7044,2025-12-06 01:15:27,2025-12-06 01:15:39
FACE_892189,male,25-30,64.1436,2025-10-07 05:06:42,2025-10-07 05:06:44
FACE_6711,female,42-48,72.6902,2025-08-26 05:40:05,2025-08-26 05:40:35
FACE_299029,female,42-48,82.4202,2025-11-07 21:12:42,2025-11-07 21:12:57
FACE_220513,female,06-20,94.4716,2025-04-27 10:20:42,2025-04-27 10:21:00
FACE_161672,male,25-30,83.2589,2025-04-14 07:13:15,2025-04-14 07:13:42
FACE_610582,male,06-20,88.534,2025-08-04 02:16:39,2025-08-04 02:17:01
FACE_868551,male,42-48,70.1245,2025-05-26 12:34:47,2025-05-26 12:34:55
FACE_362016,female,42-48,68.6799,2025-10-10 04:34:53,2025-10-10 04:35:01
FACE_602190,female,42-48,84.4372,2025-05-13 03:19:54,2025-05-13 03:19:58
FACE_822960,female,42-48,76.9636,2025-04-26 13:21:40,2025-04-26 13:21:57
FACE_183010,female,42-48,93.8834,2025-11-24 01:22:39,2025-11-24 01:22:48
FACE_135058,female,42-48,84.9799,2025-08-30 19:48:52,2025-08-30 19:48:54
FACE_984706,female,42-48,80.8097,2025-12-23 02:16:37,2025-12-23 02:16:53
FACE_712717,male,42-48,67.7705,2025-04-07 07:00:35,2025-04-07 07:00:51
FACE_591778,male,25-30,66.5076,2025-12-05 03:55:00,2025-12-05 03:55:21
FACE_137333,female,25-30,67.4332,2025-11-23 23:00:04,2025-11-23 23:00:21
FACE_334012,male,60-98,82.7212,2025-10-23 10:38:54,2025-10-23 10:39:09
FACE_977859,male,25-30,96.9576,2025-12-22 02:00:35,2025-12-22 02:00:55
FACE_831906,male,60-98,93.2139,2025-06-30 05:06:17,2025-06-30 05:06:24
FACE_589515,male,42-48,62.8504,2025-11-10 00:59:09,2025-11-10 00:59:20
FACE_89159,female,06-20,83.0533,2025-04-12 12:00:04,2025-04-12 12:00:13
FACE_308825,female,25-30,80.6427,2025-11-19 09:24:09,2025-11-19 09:24:29
FACE_500182,female,42-48,82.7157,2025-04-05 00:19:47,2025-04-05 00:20:13
FACE_439733,male,06-20,87.5483,2025-08-04 13:02:52,2025-08-04 13:03:00
FACE_80032,male,42-48,82.1459,2025-11-25 19:29:57,2025-11-25 19:30:16
FACE_23293,male,06-20,86.7472,2025-03-05 21:14:29,2025-03-05 21:14:55
FACE_377889,male,60-98,79.2868,2025-08-06 20:06:42,2025-08-06 20:06:47
FACE_407243,male,25-30,72.8434,2025-05-13 13:53:04,2025-05-13 13:53:33
FACE_273782,female,42-48,85.4275,2025-04-18 05:09:43,2025-04-18 05:09:49
FACE_413363,female,42-48,96.9649,2025-09-06 08:34:08,2025-09-06 08:34:26
FACE_177326,female,42-48,85.7339,2025-08-14 16:09:04,2025-08-14 16:09:27
FACE_48391,male,60-98,67.9937,2025-02-16 14:13:22,2025-02-16 14:13:39
FACE_992415,male,06-20,82.6848,2025-04-04 12:08:13,2025-04-04 12:08:42
FACE_483434,male,06-20,67.3616,2025-11-13 02:22:02,2025-11-13 02:22:15
FACE_995837,male,42-48,65.5311,2025-03-05 03:39:36,2025-03-05 03:40:06
FACE_766425,male,06-20,95.6249,2025-02-04 12:04:04,2025-02-04 12:04:07
FACE_1450,female,60-98,64.2503,2025-06-06 07:07:18,2025-06-06 07:07:40
FACE_810270,male,42-48,92.4318,2025-12-11 11:44:13,2025-12-11 11:44:34
FACE_167223,female,06-20,64.0252,2025-11-09 20:09:46,2025-11-09 20:09:56
FACE_803338,female,06-20,81.7165,2025-01-11 14:22:15,2025-01-11 14:22:39
FACE_736153,female,25-30,97.5139,2025-10-29 01:08:03,2025-10-29 01:08:14
FACE_433661,female,60-98,95.8255,2025-10-15 10:38:15,2025-10-15 10:38:25
FACE_436925,female,60-98,73.0918,2025-08-15 19:42:24,2025-08-15 19:42:36
FACE_540523,male,60-98,83.7176,2025-01-28 15:42:46,2025-01-28 15:43:15
FACE_694550,male,42-48,62.3434,2025-09-10 03:23:06,2025-09-10 03:23:09
FACE_222343,male,60-98,88.0843,2025-02-25 15:10:05,2025-02-25 15:10:09
FACE_743434,male,06-20,70.8755,2025-01-30 19:57:01,2025-01-30 19:57:29
FACE_807200,male,25-30,73.4706,2025-05-18 03:41:25,2025-05-18 03:41:46
FACE_543912,female,42-48,81.0303,2025-10-11 04:11:56,2025-10-11 04:12:25
FACE_615338,female,42-48,81.4551,2025-08-24 03:55:52,2025-08-24 03:56:03
FACE_60156,male,06-20,80.3528,2025-07-17 09:52:02,2025-07-17 09:52:23
FACE_207290,female,60-98,97.4688,2025-08-02 05:30:24,2025-08-02 05:30:53
FACE_844551,female,42-48,70.1788,2025-07-17 06:35:45,2025-07-17 06:35:56
FACE_108768,male,25-30,83.4413,2025-05-31 12:18:51,2025-05-31 12:19:11
FACE_451826,male,25-30,80.0271,2025-06-07 10:31:50,2025-06-07 10:32:03
FACE_967040,female,60-98,77.5696,2025-05-05 02:49:30,2025-05-05 02:49:43
FACE_349194,female,42-48,92.9582,2025-06-11 17:00:15,2025-06-11 17:00:41
FACE_288115,male,06-20,86.31,2025-07-12 18:34:52,2025-07-12 18:35:03
FACE_523174,male,60-98,90.982,2025-07-05 23:36:25,2025-07-05 23:36:33
FACE_487437,female,06-20,60.7948,2025-05-20 14:46:43,2025-05-20 14:47:07
FACE_998559,male,60-98,88.4103,2025-10-06 23:14:51,2025-10-06 23:15:11
FACE_522139,male,25-30,64.4732,2025-10-03 07:08:57,2025-10-03 07:09:19
FACE_581511,female,60-98,85.0877,2025-04-18 20:12:03,2025-04-18 20:12:31
FACE_150771,female,06-20,66.4013,2025-07-29 16:21:36,2025-07-29 16:21:42
FACE_418473,female,25-30,66.5116,2025-05-19 17:03:01,2025-05-19 17:03:31
FACE_443207,female,06-20,75.3077,2025-09-17 16:13:46,2025-09-17 16:13:56
FACE_351146,female,42-48,85.7268,2025-01-21 13:07:44,2025-01-21 13:07:46
FACE_463022,female,60-98,83.1898,2025-05-05 14:03:17,2025-05-05 14:03:45
FACE_969373,female,60-98,64.7087,2025-06-18 01:23:21,2025-06-18 01:23:27
FACE_899085,male,42-48,70.3083,2025-04-24 15:19:34,2025-04-24 15:20:04
FACE_667705,female,25-30,63.8047,2025-04-25 01:07:47,2025-04-25 01:07:47
FACE_448857,female,42-48,74.4243,2025-12-09 23:58:04,2025-12-09 23:58:06
FACE_358489,female,42-48,78.8757,2025-12-02 06:56:18,2025-12-02 06:56:35
FACE_883999,female,42-48,80.8795,2025-01-17 17:16:17,2025-01-17 17:16:26
FACE_594179,male,06-20,74.9452,2025-04-03 21:35:31,2025-04-03 21:35:53
FACE_541464,female,42-48,61.178,2025-10-13 10:42:45,2025-10-13 10:43:04
FACE_455142,female,42-48,88.4067,2025-06-09 08:35:48,2025-06-09 08:36:16
FACE_582150,male,25-30,90.3126,2025-03-03 14:39:17,2025-03-03 14:39:38
FACE_613853,female,60-98,64.8223,2025-05-17 06:43:06,2025-05-17 06:43:16
FACE_559757,male,60-98,61.3138,2025-06-02 22:50:18,2025-06-02 22:50:47
FACE_183888,female,25-30,82.6887,2025-09-25 17:49:34,2025-09-25 17:49:37
FACE_708969,male,42-48,97.7777,2025-08-19 15:27:00,2025-08-19 15:27:00
FACE_661895,female,42-48,66.7541,2025-04-29 06:56:59,2025-04-29 06:57:18
FACE_432127,female,42-48,77.8225,2025-04-26 09:16:38,2025-04-26 09:16:46
FACE_56720,male,06-20,82.4785,2025-01-06 19:41:10,2025-01-06 19:41:11
FACE_454979,female,25-30,84.5525,2025-09-21 08:52:18,2025-09-21 08:52:30
FACE_382363,female,06-20,73.1315,2025-10-06 00:35:45,2025-10-06 00:35:49
FACE_380785,male,25-30,77.3613,2025-06-16 17:36:25,2025-06-16 17:36:39
FACE_141482,male,60-98,65.5815,2025-01-24 21:27:03,2025-01-24 21:27:23
FACE_715748,female,60-98,84.3364,2025-08-03 23:30:37,2025-08-03 23:30:54
FACE_611547,male,42-48,62.0829,2025-02-12 03:31:31,2025-02-12 03:31:59
FACE_289726,female,42-48,94.6656,2025-02-24 13:29:02,2025-02-24 13:29:16
FACE_18432,male,42-48,92.9264,2025-05-10 03:17:25,2025-05-10 03:17:45
FACE_289116,female,60-98,91.4798,2025-05-09 09:49:44,2025-05-09 09:49:46
FACE_30079,male,06-20,63.1541,2025-12-18 14:08:15,2025-12-18 14:08:35
FACE_463576,female,42-48,73.0114,2025-11-28 16:14:26,2025-11-28 16:14:29
FACE_51417,male,25-30,88.2,2025-07-10 14:29:19,2025-07-10 14:29:48
FACE_844636,female,42-48,78.0812,2025-02-25 13:20:57,2025-02-25 13:21:22
FACE_421246,male,60-98,62.6429,2025-04-14 20:55:14,2025-04-14 20:55:37
FACE_982425,female,60-98,81.815,2025-10-09 13:36:27,2025-10-09 13:36:32
FACE_396055,female,60-98,65.8197,2025-04-22 10:27:59,2025-04-22 10:28:12
FACE_23175,female,25-30,64.5419,2025-02-03 10:09:49,2025-02-03 10:09:59
FACE_346135,male,25-30,67.4427,2025-10-20 16:47:04,2025-10-20 16:47:30
FACE_747989,male,60-98,91.7519,2025-03-22 20:37:23,2025-03-22 20:37:48
FACE_845614,male,25-30,77.6007,2025-07-19 09:56:30,2025-07-19 09:56:43
FACE_505473,female,42-48,62.2843,2025-06-01 09:23:34,2025-06-01 09:23:47
FACE_107066,male,06-20,67.1047,2025-10-19 15:25:52,2025-10-19 15:25:52
FACE_442597,female,42-48,97.4532,2025-10-23 21:40:58,2025-10-23 21:41:05
FACE_36228,female,25-30,68.7886,2025-12-27 04:37:50,2025-12-27 04:38:14
FACE_735103,male,42-48,70.0826,2025-11-09 00:27:36,2025-11-09 00:27:53
FACE_249253,female,42-48,97.4443,2025-08-23 13:26:07,2025-08-23 13:26:35
FACE_286390,male,42-48,92.7925,2025-11-11 10:09:30,2025-11-11 10:09:44
FACE_214212,female,06-20,82.2971,2025-10-25 00:26:07,2025-10-25 00:26:14
FACE_236526,male,25-30,75.6593,2025-04-09 21:54:11,2025-04-09 21:54:21
FACE_160634,male,60-98,70.6546,2025-02-10 02:19:27,2025-02-10 02:19:56
FACE_799033,male,60-98,84.0532,2025-10-01 14:39:38,2025-10-01 14:39:57
FACE_790547,male,60-98,66.025,2025-03-13 08:34:29,2025-03-13 08:34:51
FACE_794824,female,42-48,74.0259,2025-05-12 02:43:43,2025-05-12 02:44:00
FACE_366396,female,06-20,89.5846,2025-02-02 12:38:37,2025-02-02 12:38:48
FACE_239160,male,06-20,82.4087,2025-09-26 01:00:17,2025-09-26 01:00:30
FACE_280284,male,42-48,72.719,2025-05-23 08:51:13,2025-05-23 08:51:39
FACE_640198,male,60-98,79.7292,2025-09-21 23:24:41,2025-09-21 23:24:51
FACE_44840,female,25-30,76.1231,2025-12-28 12:28:44,2025-12-28 12:29:11
FACE_328478,female,25-30,69.1678,2025-09-15 21:40:57,2025-09-15 21:41:17
FACE_591483,male,25-30,89.631,2025-12-25 12:01:46,2025-12-25 12:01:48
FACE_307534,female,60-98,69.6433,2025-12-16 16:21:47,2025-12-16 16:22:09
FACE_635451,female,06-20,84.061,2025-11-16 16:41:44,2025-11-16 16:42:06
FACE_495470,female,25-30,82.1234,2025-01-04 16:04:10,2025-01-04 16:04:21
FACE_17724,male,60-98,81.3735,2025-08-18 18:36:32,2025-08-18 18:36:51
FACE_569279,female,25-30,81.0796,2025-04-29 11:48:59,2025-04-29 11:49:09
FACE_469785,female,25-30,67.3889,2025-10-27 13:31:09,2025-10-27 13:31:32
FACE_943743,female,60-98,68.1507,2025-10-03 03:25:29,2025-10-03 03:25:51
FACE_322203,male,60-98,93.2819,2025-07-07 17:24:50,2025-07-07 17:25:14
FACE_92142,male,42-48,90.8228,2025-08-19 10:19:41,2025-08-19 10:19:55
FACE_163823,female,42-48,69.4325,2025-03-12 08:19:51,2025-03-12 08:19:53
FACE_413622,male,60-98,81.2286,2025-12-05 15:59:37,2025-12-05 16:00:03
FACE_846391,female,25-30,97.8209,2025-01-04 23:15:58,2025-01-04 23:16:28
FACE_149517,male,60-98,92.3301,2025-07-28 00:46:30,2025-07-28 00:46:31
FACE_691049,male,42-48,97.3532,2025-08-15 12:24:52,2025-08-15 12:25:03
FACE_387925,male,25-30,84.9584,2025-07-02 06:40:43,2025-07-02 06:41:03
FACE_414917,female,60-98,60.6176,2025-05-11 15:54:32,2025-05-11 15:54:36
FACE_996669,female,06-20,91.9954,2025-06-26 23:42:45,2025-06-26 23:43:10
FACE_858671,female,60-98,68.5134,2025-06-21 10:53:05,2025-06-21 10:53:32
FACE_859538,male,42-48,66.5344,2025-01-01 17:39:05,2025-01-01 17:39:17
FACE_25442,female,06-20,64.0593,2025-06-17 10:49:34,2025-06-17 10:49:39
FACE_932641,female,42-48,96.2771,2025-03-30 08:53:14,2025-03-30 08:53:20
FACE_724274,male,06-20,90.174,2025-10-27 06:00:13,2025-10-27 06:00:37
FACE_220727,male,60-98,76.8405,2025-10-24 07:23:45,2025-10-24 07:23:47
FACE_822855,female,25-30,73.7567,2025-06-20 06:04:36,2025-06-20 06:04:36
FACE_105371,female,60-98,82.5842,2025-09-15 05:35:10,2025-09-15 05:35:26
FACE_962622,male,42-48,60.3414,2025-04-13 14:19:33,2025-04-13 14:19:59
FACE_796643,male,60-98,70.3738,2025-11-12 22:09:07,2025-11-12 22:09:19
FACE_659527,female,06-20,64.882,2025-02-27 00:40:24,2025-02-27 00:40:36
FACE_539467,male,42-48,64.5012,2025-11-08 04:22:02,2025-11-08 04:22:19
FACE_179096,female,42-48,73.9798,2025-03-15 10:48:34,2025-03-15 10:48:59
FACE_620746,female,60-98,97.463,2025-03-15 14:28:45,2025-03-15 14:28:54
FACE_157726,female,06-20,69.5472,2025-03-02 03:11:06,2025-03-02 03:11:24
FACE_550516,male,60-98,89.9064,2025-03-09 00:33:20,2025-03-09 00:33:30
FACE_549496,male,42-48,80.2843,2025-01-27 15:56:35,2025-01-27 15:56:35
FACE_884758,male,06-20,95.2798,2025-11-21 20:38:21,2025-11-21 20:38:26
FACE_915739,male,42-48,70.3802,2025-11-15 09:50:34,2025-11-15 09:50:35
FACE_894076,male,42-48,90.9003,2025-01-16 07:04:35,2025-01-16 07:04:57
FACE_139937,female,42-48,63.4191,2025-01-11 00:50:18,2025-01-11 00:50:39
FACE_175759,male,06-20,97.6687,2025-11-20 02:04:08,2025-11-20 02:04:23
FACE_767136,male,42-48,62.1008,2025-06-04 00:38:16,2025-06-04 00:38:22
FACE_779902,female,06-20,67.2619,2025-02-13 09:34:25,2025-02-13 09:34:36
FACE_605343,male,06-20,85.8008,2025-06-06 08:18:38,2025-06-06 08:18:50
FACE_795860,female,25-30,88.7007,2025-05-03 08:43:47,2025-05-03 08:43:57
FACE_206243,male,42-48,94.8948,2025-08-09 08:22:38,2025-08-09 08:22:38
FACE_204561,female,06-20,80.4871,2025-03-26 03:51:10,2025-03-26 03:51:34
FACE_197414,male,06-20,86.5955,2025-12-07 06:42:26,2025-12-07 06:42:48
FACE_376239,male,25-30,67.873,2025-01-15 12:11:47,2025-01-15 12:11:49
FACE_616086,female,42-48,94.5739,2025-08-03 21:17:12,2025-08-03 21:17:28
FACE_243939,male,60-98,95.5782,2025-09-17 06:04:15,2025-09-17 06:04:33
FACE_885710,male,60-98,69.5226,2025-10-28 07:20:33,2025-10-28 07:20:57
FACE_21499,female,60-98,68.3309,2025-09-28 08:11:40,2025-09-28 08:11:54
FACE_301683,male,06-20,70.2037,2025-08-15 19:49:56,2025-08-15 19:50:25
FACE_812165,female,42-48,95.1054,2025-02-19 07:40:50,2025-02-19 07:41:11
FACE_511051,female,60-98,85.8625,2025-06-19 16:52:49,2025-06-19 16:53:11
FACE_135644,male,60-98,82.632,2025-09-03 11:17:03,2025-09-03 11:17:11
FACE_930417,male,25-30,66.0843,2025-01-18 06:26:49,2025-01-18 06:27:11
FACE_204836,male,42-48,78.5718,2025-07-08 07:34:28,2025-07-08 07:34:34
FACE_851160,female,60-98,78.6025,2025-01-04 09:53:56,2025-01-04 09:54:14
FACE_546412,female,42-48,89.6647,2025-10-08 21:58:31,2025-10-08 21:58:50
FACE_858081,female,25-30,69.6385,2025-04-04 20:44:15,2025-04-04 20:44:24
FACE_116841,female,60-98,90.4303,2025-07-23 16:23:40,2025-07-23 16:23:57
FACE_420053,female,42-48,62.4619,2025-07-16 05:47:29,2025-07-16 05:47:32
FACE_182542,female,25-30,62.9222,2025-05-12 07:51:49,2025-05-12 07:51:49
FACE_834320,male,60-98,73.9725,2025-07-30 18:28:10,2025-07-30 18:28:12
FACE_465345,male,06-20,69.9935,2025-12-07 02:28:24,2025-12-07 02:28:45
FACE_572959,female,25-30,75.6255,2025-03-13 20:43:33,2025-03-13 20:43:34
FACE_197704,male,60-98,94.8623,2025-01-13 01:18:06,2025-01-13 01:18:36
FACE_229246,female,25-30,94.6584,2025-07-20 13:51:25,2025-07-20 13:51:51
FACE_716056,male,60-98,76.7026,2025-03-07 15:45:21,2025-03-07 15:45:51
FACE_290693,female,06-20,90.4578,2025-04-09 19:52:51,2025-04-09 19:53:14
FACE_476108,female,06-20,74.7442,2025-11-20 17:40:51,2025-11-20 17:41:19
FACE_142500,male,60-98,67.1983,2025-08-16 15:03:40,2025-08-16 15:04:02
FACE_500145,female,60-98,93.249,2025-09-30 06:09:21,2025-09-30 06:09:39
FACE_562064,female,06-20,71.8216,2025-08-25 04:01:49,2025-08-25 04:02:01
FACE_832026,female,42-48,85.9824,2025-05-18 08:29:57,2025-05-18 08:30:09
FACE_272065,female,60-98,65.5507,2025-09-05 09:48:19,2025-09-05 09:48:36
FACE_518557,female,42-48,73.3762,2025-10-31 20:01:00,2025-10-31 20:01:02
FACE_974414,male,06-20,68.7511,2025-07-22 10:31:27,2025-07-22 10:31:44
FACE_800967,female,06-20,60.4797,2025-11-18 02:32:11,2025-11-18 02:32:33
FACE_571028,female,06-20,83.6041,2025-11-16 03:32:34,2025-11-16 03:32:59
FACE_405423,male,60-98,73.6951,2025-04-13 09:45:08,2025-04-13 09:45:19
FACE_731856,male,60-98,63.0052,2025-08-20 01:10:46,2025-08-20 01:11:06
FACE_717941,male,60-98,67.1182,2025-02-19 02:38:06,2025-02-19 02:38:36
FACE_858254,female,42-48,73.2475,2025-03-30 18:09:09,2025-03-30 18:09:28
FACE_845,female,06-20,97.3533,2025-09-11 17:07:49,2025-09-11 17:07:58
FACE_528787,female,25-30,93.2684,2025-05-29 22:26:06,2025-05-29 22:26:25
FACE_655496,female,42-48,95.789,2025-02-15 04:47:33,2025-02-15 04:47:39
FACE_119604,male,25-30,85.4765,2025-11-09 13:32:34,2025-11-09 13:33:02
FACE_990781,male,60-98,91.6686,2025-10-23 07:07:57,2025-10-23 07:08:09
FACE_245865,female,42-48,88.4481,2025-01-13 09:39:15,2025-01-13 09:39:21
FACE_385905,male,25-30,70.916,2025-04-04 13:10:42,2025-04-04 13:10:51
FACE_370440,male,42-48,61.0536,2025-10-25 05:03:44,2025-10-25 05:04:12
FACE_777308,female,42-48,88.5243,2025-09-07 04:17:21,2025-09-07 04:17:23
FACE_306170,female,60-98,62.0412,2025-04-19 20:49:53,2025-04-19 20:50:01
FACE_784357,male,60-98,97.3941,2025-09-13 12:52:17,2025-09-13 12:52:17
FACE_627009,female,25-30,66.9031,2025-11-07 23:16:16,2025-11-07 23:16:18
FACE_186950,male,60-98,93.1889,2025-04-10 11:48:50,2025-04-10 11:49:01
FACE_628522,female,60-98,87.4068,2025-04-19 08:29:17,2025-04-19 08:29:27
FACE_528758,male,06-20,67.4131,2025-05-24 11:21:20,2025-05-24 11:21:25
FACE_528740,female,42-48,95.2813,2025-02-20 09:40:33,2025-02-20 09:41:01
FACE_193993,male,06-20,93.2868,2025-07-03 09:08:46,2025-07-03 09:08:50
FACE_114550,female,42-48,78.5041,2025-05-04 15:08:25,2025-05-04 15:08:53
FACE_230054,female,60-98,87.6087,2025-08-10 11:46:41,2025-08-10 11:46:48
FACE_238261,female,60-98,84.0962,2025-04-28 23:22:20,2025-04-28 23:22:42
FACE_263717,male,60-98,64.5789,2025-08-04 03:28:56,2025-08-04 03:29:14
FACE_453658,female,42-48,72.0668,2025-09-07 15:16:47,2025-09-07 15:17:10
FACE_864054,female,42-48,73.7022,2025-10-13 23:46:33,2025-10-13 23:46:42
FACE_810212,male,06-20,77.8345,2025-08-12 14:14:55,2025-08-12 14:15:01
FACE_631842,female,42-48,94.2465,2025-11-16 15:12:41,2025-11-16 15:12:43
FACE_596649,male,60-98,77.8207,2025-11-06 13:19:39,2025-11-06 13:20:07
FACE_93960,female,42-48,74.9853,2025-10-15 20:31:08,2025-10-15 20:31:23
FACE_872585,male,60-98,69.9369,2025-04-13 22:43:01,2025-04-13 22:43:09
FACE_31929,female,25-30,92.9622,2025-05-27 15:58:11,2025-05-27 15:58:17
FACE_995707,male,60-98,89.792,2025-12-08 21:49:03,2025-12-08 21:49:13
FACE_492598,female,06-20,67.6008,2025-01-23 22:28:53,2025-01-23 22:29:00
FACE_933722,female,60-98,95.7115,2025-01-11 16:03:27,2025-01-11 16:03:39
FACE_34608,female,25-30,79.1495,2025-08-05 14:46:48,2025-08-05 14:47:11
